scenario_id,description,operacja,SQLite_avg_s,SQLite_min_s,SQLite_max_s,MySQL_avg_s,MySQL_min_s,MySQL_max_s,MySQL-Norm_avg_s,MySQL-Norm_min_s,MySQL-Norm_max_s,CouchDB_avg_s,CouchDB_min_s,CouchDB_max_s,Redis_avg_s,Redis_min_s,Redis_max_s
C1,Dodanie pojedynczego produktu alkoholowego,C,0.000756,0.000334,0.001588,0.013092,0.007125,0.024384,0.011222,0.005912,0.020512,0.065395,0.056027,0.078474,0.001018,0.000878,0.001158
C2,Dodanie hurtowe 1000 produktów alkoholowych,C,0.017429,0.015732,0.020398,0.109202,0.068348,0.181371,0.124221,0.105068,0.150439,0.246396,0.240847,0.254473,0.108476,0.100909,0.120921
C3,Dodanie nowego klienta,C,0.000444,0.000156,0.000921,0.023228,0.007516,0.031702,0.007703,0.005766,0.010711,0.046238,0.018320,0.064659,0.001281,0.000918,0.001826
C4,Dodanie nowego paragonu,C,0.000413,0.000213,0.000785,0.025897,0.022682,0.028348,0.006560,0.005898,0.007303,0.058609,0.056836,0.059897,0.000828,0.000822,0.000836
C5,Dodanie pozycji do paragonu,C,0.001107,0.000775,0.001526,0.026824,0.007200,0.065880,0.013385,0.006052,0.027482,0.059208,0.059047,0.059318,0.001173,0.001060,0.001283
C6,Dodanie nowej faktury,C,0.000340,0.000137,0.000733,0.008413,0.007807,0.009461,0.006275,0.005137,0.007680,0.055955,0.055672,0.056341,0.001067,0.000995,0.001186
R1,Pobranie produktu alkoholowego po ID,R,0.000174,0.000027,0.000460,0.001214,0.001130,0.001310,0.001557,0.001295,0.001833,0.005022,0.004212,0.006243,0.000913,0.000829,0.000963
R2,Lista produktów z danej kategorii,R,0.019733,0.015788,0.025997,0.044312,0.038337,0.053570,0.045295,0.039291,0.053398,0.754804,0.118929,1.990877,0.023478,0.021861,0.026097
R3,Historia paragonów klienta,R,0.000138,0.000102,0.000202,0.001454,0.001021,0.002307,0.001737,0.001156,0.002790,0.693563,0.011473,2.022295,0.001241,0.001030,0.001380
R4,Szczegóły paragonu z pozycjami (JOIN),R,0.000067,0.000029,0.000134,0.001116,0.001018,0.001286,0.001269,0.001146,0.001452,0.683032,0.053573,1.939626,0.001626,0.001510,0.001709
R5,Top 10 najdroższych produktów alkoholowych,R,0.000086,0.000060,0.000132,0.001160,0.001136,0.001198,0.001379,0.001252,0.001588,1.244748,0.012153,3.668437,0.002606,0.002227,0.002937
R6,Wyszukanie faktur z danego okresu,R,0.680227,0.634726,0.751805,1.130792,1.077288,1.219527,1.179328,1.132242,1.211028,0.704674,0.109186,1.856123,0.000962,0.000876,0.001111
U1,Aktualizacja ceny produktu alkoholowego,U,0.000271,0.000145,0.000468,0.019072,0.007650,0.039570,0.022785,0.011179,0.043697,0.067901,0.066236,0.069707,0.000957,0.000883,0.001055
U2,Aktualizacja danych klienta,U,0.000063,0.000037,0.000103,0.014816,0.007395,0.029526,0.008670,0.007583,0.010046,0.066414,0.063973,0.068233,0.001651,0.000806,0.002913
U3,Zmiana statusu transakcji paragonu,U,0.000060,0.000039,0.000098,0.004222,0.002029,0.008422,0.024236,0.013055,0.043449,0.069000,0.065274,0.075175,0.000695,0.000691,0.000700
U4,Masowa aktualizacja cen w kategorii (promocja),U,0.134435,0.122458,0.157529,0.100067,0.093248,0.111552,0.213632,0.146883,0.324122,3.553530,3.422769,3.639758,0.235880,0.227340,0.247610
U5,Aktualizacja statusu dostawy,U,0.000284,0.000028,0.000761,0.004638,0.001688,0.007138,0.004914,0.001478,0.007407,0.061270,0.058219,0.063378,0.000814,0.000691,0.001044
U6,Aktualizacja danych producenta,U,0.000061,0.000038,0.000104,0.020467,0.001688,0.054007,0.005684,0.005589,0.005790,0.066396,0.060658,0.069729,0.000732,0.000691,0.000764
D1,Usunięcie pojedynczego produktu alkoholowego,D,0.000032,0.000015,0.000066,0.001925,0.001595,0.002583,0.001996,0.001622,0.002463,0.005485,0.004116,0.006652,0.001607,0.001432,0.001864
D2,Usunięcie klienta,D,0.000038,0.000015,0.000080,0.003155,0.003061,0.003291,0.003601,0.003366,0.003909,0.004302,0.003880,0.004962,0.000712,0.000711,0.000713
D3,Usunięcie paragonu (kaskadowe z pozycjami),D,0.000041,0.000017,0.000089,0.001679,0.001554,0.001821,0.001718,0.001618,0.001841,0.419716,0.052504,1.140854,0.001489,0.001407,0.001542
D4,Usunięcie pozycji paragonu,D,0.000036,0.000015,0.000073,0.001597,0.001518,0.001676,0.001708,0.001695,0.001730,0.048753,0.047804,0.050458,0.001526,0.001414,0.001698
D5,Masowe usunięcie 100 produktów tytoniowych,D,0.000157,0.000116,0.000230,0.002101,0.001893,0.002431,0.002677,0.002223,0.003438,0.442714,0.427739,0.472559,0.076113,0.074301,0.079016
D6,Usunięcie dostawy,D,0.000029,0.000015,0.000056,0.001350,0.001326,0.001388,0.001715,0.001631,0.001832,0.003098,0.002988,0.003212,0.000726,0.000689,0.000750
