scenario_id,description,operacja,SQLite_avg_s,SQLite_min_s,SQLite_max_s,MySQL_avg_s,MySQL_min_s,MySQL_max_s,MySQL-Norm_avg_s,MySQL-Norm_min_s,MySQL-Norm_max_s,CouchDB_avg_s,CouchDB_min_s,CouchDB_max_s,Redis_avg_s,Redis_min_s,Redis_max_s
C1,Dodanie pojedynczego produktu alkoholowego,C,0.000857,0.000108,0.002323,0.008552,0.005199,0.011536,0.007589,0.005657,0.011336,0.060520,0.058571,0.062909,0.001274,0.001014,0.001542
C2,Dodanie hurtowe 1000 produktów alkoholowych,C,0.010852,0.009728,0.013033,0.241249,0.225117,0.271466,0.205861,0.189303,0.215947,0.184577,0.151184,0.206727,0.093407,0.087947,0.099853
C3,Dodanie nowego klienta,C,0.000569,0.000129,0.001396,0.014301,0.007715,0.027103,0.007097,0.005529,0.009817,0.046126,0.016176,0.063167,0.001353,0.001062,0.001915
C4,Dodanie nowego paragonu,C,0.000604,0.000124,0.001409,0.019126,0.007458,0.025552,0.017734,0.005338,0.036679,0.061893,0.013656,0.107359,0.001138,0.000967,0.001248
C5,Dodanie pozycji do paragonu,C,0.000511,0.000106,0.001111,0.013491,0.007198,0.023650,0.006031,0.005943,0.006209,0.059627,0.056210,0.063783,0.001264,0.000971,0.001465
C6,Dodanie nowej faktury,C,0.000334,0.000091,0.000617,0.018289,0.007194,0.024875,0.006609,0.005516,0.008009,0.056971,0.054918,0.060242,0.000854,0.000802,0.000906
R1,Pobranie produktu alkoholowego po ID,R,0.000309,0.000215,0.000496,0.001677,0.001369,0.002291,0.002391,0.001095,0.004562,0.007616,0.006274,0.009165,0.001289,0.000797,0.002215
R2,Lista produktów z danej kategorii,R,0.027978,0.020003,0.038820,0.049396,0.038566,0.062026,0.052931,0.043059,0.071246,0.560574,0.555064,0.564416,0.012481,0.011403,0.013256
R3,Historia paragonów klienta,R,0.584890,0.511500,0.720067,0.002016,0.001214,0.003286,0.003955,0.001001,0.009324,1143.647421,1138.808962,1150.477205,0.000910,0.000742,0.001161
R4,Szczegóły paragonu z pozycjami (JOIN),R,0.775243,0.721964,0.854330,0.001983,0.001085,0.002754,0.001274,0.001075,0.001634,1135.688500,1133.307465,1136.915379,0.001448,0.001409,0.001481
R5,Top 10 najdroższych produktów alkoholowych,R,0.009872,0.007057,0.015079,0.064684,0.052267,0.086970,0.052119,0.047492,0.056676,0.104498,0.003223,0.263826,0.002738,0.002120,0.003826
R6,Wyszukanie faktur z danego okresu,R,0.607294,0.555016,0.666055,1.157843,1.106524,1.203024,1.191458,1.161485,1.221405,48.470005,48.229259,48.615561,0.000691,0.000671,0.000723
U1,Aktualizacja ceny produktu alkoholowego,U,0.000152,0.000057,0.000333,0.016768,0.005174,0.039633,0.023868,0.010317,0.032898,0.061456,0.061147,0.062039,0.000794,0.000779,0.000817
U2,Aktualizacja danych klienta,U,0.000063,0.000040,0.000105,0.007300,0.006512,0.008196,0.006447,0.005633,0.007323,0.074125,0.066481,0.086266,0.001376,0.001085,0.001657
U3,Zmiana statusu transakcji paragonu,U,0.000193,0.000085,0.000350,0.005970,0.002015,0.008709,0.005706,0.002282,0.009399,0.065923,0.061766,0.068694,0.000725,0.000682,0.000782
U4,Masowa aktualizacja cen w kategorii (promocja),U,0.105975,0.097746,0.120124,0.069275,0.057209,0.087862,0.079398,0.061088,0.105070,1138.129936,1136.612240,1140.803055,0.136661,0.123804,0.149872
U5,Aktualizacja statusu dostawy,U,0.000373,0.000073,0.000944,0.006022,0.005833,0.006291,0.007052,0.006533,0.007768,0.060932,0.060012,0.062527,0.000790,0.000773,0.000814
U6,Aktualizacja danych producenta,U,0.000060,0.000040,0.000099,0.006831,0.004648,0.010213,0.007170,0.006265,0.007976,0.064571,0.061794,0.068494,0.001115,0.000690,0.001539
D1,Usunięcie pojedynczego produktu alkoholowego,D,0.000030,0.000015,0.000053,0.001558,0.001398,0.001638,0.001668,0.001478,0.001864,0.005525,0.004245,0.008000,0.001425,0.001402,0.001468
D2,Usunięcie klienta,D,0.000040,0.000018,0.000073,0.002628,0.002600,0.002674,0.002775,0.002592,0.002937,0.003748,0.003466,0.003896,0.000657,0.000629,0.000682
D3,Usunięcie paragonu (kaskadowe z pozycjami),D,0.000042,0.000015,0.000093,0.001498,0.001303,0.001692,0.001441,0.001397,0.001507,1143.759787,1140.076688,1145.859337,0.001467,0.001438,0.001485
D4,Usunięcie pozycji paragonu,D,0.742331,0.677633,0.775600,0.001536,0.001386,0.001664,0.001465,0.001427,0.001533,1140.630632,1137.214702,1144.922345,0.001409,0.001363,0.001451
D5,Masowe usunięcie 100 produktów tytoniowych,D,0.000620,0.000143,0.001487,0.002546,0.001873,0.003826,0.003328,0.002030,0.005552,0.506053,0.413288,0.680607,0.081830,0.073847,0.096631
D6,Usunięcie dostawy,D,0.000175,0.000024,0.000468,0.002915,0.001586,0.004584,0.001374,0.001323,0.001424,0.004848,0.003630,0.006572,0.000688,0.000650,0.000754
