scenario_id,description,operacja,SQLite_avg_s,SQLite_min_s,SQLite_max_s,MySQL_avg_s,MySQL_min_s,MySQL_max_s,MySQL-Norm_avg_s,MySQL-Norm_min_s,MySQL-Norm_max_s,CouchDB_avg_s,CouchDB_min_s,CouchDB_max_s,Redis_avg_s,Redis_min_s,Redis_max_s
C1,Dodanie pojedynczego produktu alkoholowego,C,0.000580,0.000289,0.000917,0.006742,0.005796,0.007918,0.010418,0.007580,0.015498,0.067262,0.058189,0.083811,0.001003,0.000950,0.001090
C2,Dodanie hurtowe 1000 produktów alkoholowych,C,0.020535,0.018736,0.021738,0.103043,0.079935,0.122661,0.116624,0.093867,0.141922,0.189176,0.158474,0.229089,0.093547,0.087952,0.100702
C3,Dodanie nowego klienta,C,0.000283,0.000139,0.000450,0.080624,0.023316,0.193568,0.008012,0.006100,0.010885,0.043389,0.013764,0.059652,0.000834,0.000799,0.000896
C4,Dodanie nowego paragonu,C,0.000538,0.000216,0.001092,0.024817,0.006928,0.041847,0.009405,0.007650,0.010616,0.058536,0.057240,0.059475,0.000819,0.000806,0.000843
C5,Dodanie pozycji do paragonu,C,0.014470,0.001116,0.041038,0.033046,0.007848,0.080099,0.015576,0.007753,0.029979,0.058027,0.054479,0.060853,0.000979,0.000971,0.000994
C6,Dodanie nowej faktury,C,0.000163,0.000074,0.000333,0.009839,0.006934,0.014786,0.010911,0.006309,0.019062,0.057081,0.053880,0.059079,0.000814,0.000805,0.000825
R1,Pobranie produktu alkoholowego po ID,R,0.000054,0.000024,0.000104,0.001150,0.000946,0.001439,0.001225,0.001120,0.001394,0.005400,0.004360,0.006069,0.000755,0.000751,0.000759
R2,Lista produktów z danej kategorii,R,0.006315,0.004214,0.009253,0.019161,0.016772,0.022293,0.025221,0.022955,0.027710,0.417398,0.091448,1.013821,0.021112,0.020442,0.021788
R3,Historia paragonów klienta,R,0.000173,0.000081,0.000233,0.001994,0.001144,0.003294,0.001633,0.001249,0.002379,0.324753,0.006989,0.916141,0.008073,0.001143,0.014376
R4,Szczegóły paragonu z pozycjami (JOIN),R,0.000101,0.000037,0.000200,0.001619,0.001465,0.001774,0.001343,0.001264,0.001452,0.362265,0.054148,0.972134,0.004673,0.001924,0.007489
R5,Top 10 najdroższych produktów alkoholowych,R,0.000125,0.000064,0.000224,0.001495,0.001276,0.001619,0.001440,0.001389,0.001532,0.349340,0.013884,0.979946,0.002306,0.002094,0.002639
R6,Wyszukanie faktur z danego okresu,R,0.044684,0.043180,0.045902,0.111643,0.092447,0.122003,0.149185,0.133795,0.171866,0.431162,0.089332,1.061285,0.000666,0.000633,0.000685
U1,Aktualizacja ceny produktu alkoholowego,U,0.000270,0.000181,0.000389,0.008289,0.006221,0.011262,0.008091,0.006732,0.010406,0.063637,0.058879,0.066714,0.000805,0.000786,0.000818
U2,Aktualizacja danych klienta,U,0.000073,0.000052,0.000092,0.004469,0.001578,0.006135,0.008269,0.006198,0.010320,0.064690,0.062492,0.065889,0.000664,0.000645,0.000694
U3,Zmiana statusu transakcji paragonu,U,0.000085,0.000072,0.000094,0.007059,0.006101,0.007911,0.006910,0.006050,0.007765,0.065493,0.062389,0.070100,0.000659,0.000638,0.000694
U4,Masowa aktualizacja cen w kategorii (promocja),U,0.034376,0.017285,0.046286,0.042110,0.041506,0.042731,0.044727,0.038327,0.054499,0.882978,0.805288,0.934971,0.234420,0.204143,0.272124
U5,Aktualizacja statusu dostawy,U,0.000395,0.000121,0.000942,0.005171,0.001943,0.011151,0.008661,0.005287,0.014148,0.078260,0.060879,0.097318,0.000848,0.000729,0.001058
U6,Aktualizacja danych producenta,U,0.000083,0.000049,0.000143,0.007776,0.007150,0.008512,0.007952,0.005760,0.011620,0.062158,0.059805,0.066470,0.000752,0.000741,0.000774
D1,Usunięcie pojedynczego produktu alkoholowego,D,0.000043,0.000022,0.000083,0.002059,0.002047,0.002075,0.001734,0.001544,0.001849,0.003902,0.003607,0.004465,0.001584,0.001490,0.001713
D2,Usunięcie klienta,D,0.000039,0.000024,0.000068,0.003188,0.002907,0.003404,0.003473,0.003409,0.003544,0.004998,0.004339,0.005899,0.000696,0.000682,0.000716
D3,Usunięcie paragonu (kaskadowe z pozycjami),D,0.000051,0.000029,0.000093,0.001510,0.001462,0.001545,0.001816,0.001762,0.001879,0.136275,0.050977,0.271773,0.001529,0.001477,0.001561
D4,Usunięcie pozycji paragonu,D,0.000050,0.000025,0.000094,0.001521,0.001473,0.001615,0.001835,0.001655,0.001969,0.046708,0.044335,0.047936,0.001470,0.001448,0.001490
D5,Masowe usunięcie 100 produktów tytoniowych,D,0.000210,0.000179,0.000269,0.001934,0.001888,0.001959,0.002808,0.002510,0.003324,0.424734,0.401610,0.465013,0.086283,0.080556,0.094820
D6,Usunięcie dostawy,D,0.000043,0.000023,0.000082,0.001483,0.001465,0.001509,0.001727,0.001463,0.001993,0.004786,0.003656,0.005530,0.000705,0.000680,0.000742
