scenario_id,description,operacja,SQLite_avg_s,SQLite_min_s,SQLite_max_s,MySQL_avg_s,MySQL_min_s,MySQL_max_s,MySQL-Norm_avg_s,MySQL-Norm_min_s,MySQL-Norm_max_s,CouchDB_avg_s,CouchDB_min_s,CouchDB_max_s,Redis_avg_s,Redis_min_s,Redis_max_s
C1,Dodanie pojedynczego produktu alkoholowego,C,0.000757,0.000126,0.002004,0.009144,0.005990,0.014404,0.008014,0.005086,0.013629,0.059580,0.056923,0.064355,0.000994,0.000921,0.001109
C2,Dodanie hurtowe 1000 produktów alkoholowych,C,0.011519,0.010212,0.013028,0.151373,0.103365,0.183697,0.162402,0.110217,0.230640,0.198010,0.151559,0.240131,0.095228,0.088005,0.100934
C3,Dodanie nowego klienta,C,0.000532,0.000166,0.001236,0.006269,0.005397,0.006987,0.007918,0.006893,0.009478,0.046657,0.019998,0.061183,0.000839,0.000792,0.000895
C4,Dodanie nowego paragonu,C,0.000756,0.000381,0.001501,0.008861,0.007099,0.009760,0.008450,0.006022,0.011801,0.056772,0.055382,0.058099,0.007876,0.000956,0.018388
C5,Dodanie pozycji do paragonu,C,0.000612,0.000192,0.001213,0.008171,0.006705,0.009798,0.007701,0.006215,0.010230,0.059187,0.056856,0.061403,0.000982,0.000916,0.001050
C6,Dodanie nowej faktury,C,0.000324,0.000094,0.000776,0.007201,0.006077,0.008780,0.008278,0.008142,0.008538,0.059184,0.053774,0.068594,0.000804,0.000792,0.000824
R1,Pobranie produktu alkoholowego po ID,R,0.000304,0.000286,0.000321,0.001383,0.001049,0.001905,0.002182,0.001152,0.004160,0.007146,0.005864,0.008905,0.000759,0.000730,0.000784
R2,Lista produktów z danej kategorii,R,0.005369,0.003810,0.008059,0.029012,0.015327,0.037785,0.033894,0.019027,0.060883,0.545918,0.517385,0.561904,0.012867,0.011333,0.013810
R3,Historia paragonów klienta,R,0.060511,0.022379,0.136243,0.002492,0.001284,0.003632,0.004688,0.002820,0.007422,115.949147,114.708467,117.238074,0.000794,0.000716,0.000835
R4,Szczegóły paragonu z pozycjami (JOIN),R,0.060439,0.040086,0.096760,0.003092,0.001921,0.005012,0.001863,0.001260,0.002723,114.287415,113.819782,114.528081,0.001449,0.001357,0.001525
R5,Top 10 najdroższych produktów alkoholowych,R,0.001962,0.001808,0.002203,0.013927,0.012912,0.014530,0.013190,0.012489,0.013753,0.035216,0.006381,0.049874,0.002475,0.002390,0.002570
R6,Wyszukanie faktur z danego okresu,R,0.058853,0.043562,0.070615,0.123738,0.110967,0.131424,0.132359,0.111568,0.143152,5.899293,5.754723,5.998057,0.000755,0.000699,0.000826
U1,Aktualizacja ceny produktu alkoholowego,U,0.000378,0.000071,0.000969,0.007501,0.005929,0.010121,0.008820,0.006046,0.014328,0.067689,0.061954,0.077222,0.000826,0.000705,0.001016
U2,Aktualizacja danych klienta,U,0.000080,0.000058,0.000121,0.008168,0.006975,0.009734,0.006062,0.005441,0.006756,0.060711,0.060580,0.060857,0.000702,0.000692,0.000721
U3,Zmiana statusu transakcji paragonu,U,0.000066,0.000043,0.000095,0.004615,0.001623,0.006752,0.006165,0.001751,0.010113,0.062505,0.059503,0.064862,0.000659,0.000652,0.000664
U4,Masowa aktualizacja cen w kategorii (promocja),U,0.034351,0.015037,0.048780,0.025962,0.017076,0.041206,0.022230,0.020126,0.025921,114.536302,114.262282,114.851690,0.120786,0.110776,0.129570
U5,Aktualizacja statusu dostawy,U,0.000472,0.000042,0.001305,0.004818,0.001546,0.007258,0.007844,0.002471,0.013107,0.062121,0.059617,0.065510,0.000813,0.000791,0.000845
U6,Aktualizacja danych producenta,U,0.000057,0.000038,0.000089,0.007341,0.006208,0.008336,0.007029,0.006548,0.007663,0.063162,0.059575,0.067276,0.004809,0.000764,0.012248
D1,Usunięcie pojedynczego produktu alkoholowego,D,0.000028,0.000015,0.000050,0.001684,0.001527,0.001771,0.001967,0.001774,0.002107,0.004054,0.003549,0.004804,0.001969,0.001719,0.002296
D2,Usunięcie klienta,D,0.000027,0.000014,0.000050,0.002862,0.002748,0.003022,0.003438,0.003347,0.003581,0.003482,0.003374,0.003617,0.000816,0.000755,0.000887
D3,Usunięcie paragonu (kaskadowe z pozycjami),D,0.000027,0.000015,0.000051,0.001486,0.001440,0.001572,0.001727,0.001583,0.001893,114.564332,114.188117,114.969393,0.002083,0.001741,0.002489
D4,Usunięcie pozycji paragonu,D,0.037056,0.031260,0.046095,0.002100,0.001726,0.002626,0.001767,0.001532,0.002234,114.564182,114.126437,114.984113,0.001674,0.001567,0.001733
D5,Masowe usunięcie 100 produktów tytoniowych,D,0.000571,0.000244,0.001195,0.002918,0.002157,0.004325,0.002618,0.002044,0.003335,0.409174,0.377384,0.454592,0.078853,0.072591,0.089720
D6,Usunięcie dostawy,D,0.000040,0.000016,0.000084,0.002405,0.002154,0.002648,0.002026,0.001574,0.002884,0.003473,0.003400,0.003558,0.000792,0.000727,0.000876
