scenario_id,description,operacja,SQLite_avg_s,SQLite_min_s,SQLite_max_s,MySQL_avg_s,MySQL_min_s,MySQL_max_s,MySQL-Norm_avg_s,MySQL-Norm_min_s,MySQL-Norm_max_s,CouchDB_avg_s,CouchDB_min_s,CouchDB_max_s,Redis_avg_s,Redis_min_s,Redis_max_s
C1,Dodanie pojedynczego produktu alkoholowego,C,0.000597,0.000338,0.000750,0.019914,0.007812,0.043838,0.008687,0.006561,0.012194,0.058672,0.054498,0.061755,0.001100,0.000982,0.001291
C2,Dodanie hurtowe 1000 produktów alkoholowych,C,0.070676,0.027040,0.154803,0.140753,0.103797,0.167665,0.138440,0.125283,0.149850,0.263326,0.258417,0.273071,0.103524,0.088023,0.113143
C3,Dodanie nowego klienta,C,0.000701,0.000236,0.001532,0.014716,0.006934,0.026011,0.011332,0.006739,0.019102,0.064856,0.055761,0.080591,0.000819,0.000775,0.000880
C4,Dodanie nowego paragonu,C,0.000480,0.000232,0.000925,0.012160,0.007182,0.021164,0.009818,0.008824,0.011576,0.057212,0.054384,0.059944,0.000858,0.000797,0.000926
C5,Dodanie pozycji do paragonu,C,0.001088,0.000881,0.001367,0.031240,0.015896,0.051681,0.024697,0.009795,0.051692,0.061685,0.055372,0.073221,0.000943,0.000886,0.001023
C6,Dodanie nowej faktury,C,0.000247,0.000167,0.000371,0.007601,0.006521,0.008434,0.007991,0.007368,0.009220,0.054763,0.053104,0.057571,0.000829,0.000805,0.000866
R1,Pobranie produktu alkoholowego po ID,R,0.000106,0.000030,0.000253,0.001510,0.001428,0.001662,0.001290,0.001145,0.001554,0.004980,0.003724,0.006151,0.000820,0.000773,0.000860
R2,Lista produktów z danej kategorii,R,0.005488,0.005297,0.005777,0.021957,0.015301,0.033212,0.014672,0.013134,0.015519,0.392530,0.064727,1.001983,0.025857,0.023782,0.027224
R3,Historia paragonów klienta,R,0.000124,0.000061,0.000229,0.001820,0.001265,0.002652,0.002479,0.001537,0.003667,0.320541,0.007534,0.905455,0.000923,0.000721,0.001115
R4,Szczegóły paragonu z pozycjami (JOIN),R,0.000088,0.000044,0.000174,0.002020,0.001655,0.002615,0.001428,0.001337,0.001553,0.352623,0.053116,0.950857,0.001506,0.001494,0.001520
R5,Top 10 najdroższych produktów alkoholowych,R,0.000152,0.000124,0.000206,0.001806,0.001537,0.002074,0.001585,0.001567,0.001603,0.378499,0.013700,1.068858,0.002659,0.002502,0.002890
R6,Wyszukanie faktur z danego okresu,R,0.030682,0.028036,0.034044,0.082881,0.080985,0.085824,0.093317,0.057720,0.158810,0.387312,0.078275,0.948118,0.000853,0.000814,0.000888
U1,Aktualizacja ceny produktu alkoholowego,U,0.000222,0.000159,0.000331,0.011845,0.008854,0.014844,0.010133,0.008147,0.013269,0.059735,0.057479,0.061479,0.000861,0.000842,0.000879
U2,Aktualizacja danych klienta,U,0.000110,0.000092,0.000146,0.009426,0.007115,0.012546,0.006365,0.003147,0.008993,0.062576,0.061747,0.063937,0.000765,0.000734,0.000781
U3,Zmiana statusu transakcji paragonu,U,0.000087,0.000079,0.000099,0.005272,0.002310,0.007184,0.005338,0.002469,0.006858,0.065752,0.061923,0.069944,0.000777,0.000689,0.000915
U4,Masowa aktualizacja cen w kategorii (promocja),U,0.066133,0.020709,0.156631,0.036313,0.035022,0.037231,0.042444,0.033059,0.059206,0.637213,0.632905,0.642442,0.276927,0.227523,0.345228
U5,Aktualizacja statusu dostawy,U,0.000621,0.000066,0.001692,0.004039,0.002093,0.007738,0.007457,0.002432,0.010595,0.066121,0.059950,0.076250,0.000701,0.000681,0.000731
U6,Aktualizacja danych producenta,U,0.000080,0.000051,0.000127,0.009238,0.006986,0.012188,0.007150,0.006306,0.007813,0.060596,0.057091,0.063277,0.000770,0.000719,0.000799
D1,Usunięcie pojedynczego produktu alkoholowego,D,0.000046,0.000023,0.000084,0.002108,0.001790,0.002593,0.001858,0.001804,0.001950,0.005717,0.004547,0.007370,0.001531,0.001481,0.001611
D2,Usunięcie klienta,D,0.000054,0.000028,0.000095,0.003828,0.003508,0.004254,0.003234,0.002978,0.003437,0.008240,0.004397,0.015671,0.000665,0.000649,0.000694
D3,Usunięcie paragonu (kaskadowe z pozycjami),D,0.000062,0.000035,0.000115,0.001761,0.001693,0.001807,0.001816,0.001721,0.001880,0.127966,0.050551,0.282604,0.001418,0.001393,0.001440
D4,Usunięcie pozycji paragonu,D,0.000047,0.000033,0.000071,0.002065,0.001752,0.002331,0.001900,0.001716,0.002047,0.047560,0.047389,0.047734,0.001446,0.001416,0.001469
D5,Masowe usunięcie 100 produktów tytoniowych,D,0.000246,0.000223,0.000274,0.003161,0.002668,0.003583,0.003038,0.002093,0.004913,0.389230,0.366728,0.416551,0.079088,0.073978,0.084001
D6,Usunięcie dostawy,D,0.000038,0.000025,0.000063,0.001757,0.001658,0.001921,0.001544,0.001468,0.001628,0.003262,0.003194,0.003383,0.000716,0.000682,0.000743
