scenario_id,description,operacja,SQLite_avg_s,SQLite_min_s,SQLite_max_s,MySQL_avg_s,MySQL_min_s,MySQL_max_s,MySQL-Norm_avg_s,MySQL-Norm_min_s,MySQL-Norm_max_s,CouchDB_avg_s,CouchDB_min_s,CouchDB_max_s,Redis_avg_s,Redis_min_s,Redis_max_s
C1,Dodanie pojedynczego produktu alkoholowego,C,0.001649,0.000148,0.004509,0.012970,0.009107,0.019162,0.016499,0.007800,0.033119,0.060206,0.059864,0.060688,0.002698,0.001250,0.004917
C2,Dodanie hurtowe 1000 produktów alkoholowych,C,0.020592,0.019655,0.021570,0.177351,0.133626,0.235793,0.198527,0.139401,0.308336,0.243421,0.206432,0.282238,0.140407,0.106712,0.207015
C3,Dodanie nowego klienta,C,0.000898,0.000208,0.001832,0.008933,0.007132,0.011262,0.008571,0.005895,0.010236,0.048883,0.022176,0.063805,0.001243,0.000832,0.001663
C4,Dodanie nowego paragonu,C,0.000725,0.000135,0.001598,0.010930,0.009021,0.013077,0.010030,0.006984,0.014901,0.068949,0.062401,0.074087,0.000814,0.000804,0.000827
C5,Dodanie pozycji do paragonu,C,0.000948,0.000534,0.001762,0.012223,0.007371,0.020268,0.011050,0.007100,0.014993,0.071846,0.068968,0.074409,0.001020,0.000988,0.001081
C6,Dodanie nowej faktury,C,0.000475,0.000119,0.001177,0.009118,0.007076,0.012495,0.009631,0.007369,0.013961,0.071033,0.064026,0.079434,0.000871,0.000848,0.000887
R1,Pobranie produktu alkoholowego po ID,R,0.000424,0.000332,0.000480,0.001741,0.001036,0.002898,0.002330,0.001217,0.003833,0.018626,0.009781,0.034843,0.000907,0.000790,0.001112
R2,Lista produktów z danej kategorii,R,0.006198,0.004571,0.009234,0.013874,0.011102,0.016207,0.013770,0.011741,0.017548,0.941209,0.728553,1.106635,0.015370,0.011062,0.022011
R3,Historia paragonów klienta,R,0.039594,0.016656,0.070265,0.004287,0.003738,0.005088,0.004265,0.002215,0.006667,68.082764,62.596407,78.829583,0.000888,0.000715,0.001165
R4,Szczegóły paragonu z pozycjami (JOIN),R,0.048014,0.029785,0.081451,0.003247,0.001901,0.005074,0.002028,0.001461,0.003016,57.966875,54.411162,62.557233,0.001661,0.001621,0.001693
R5,Top 10 najdroższych produktów alkoholowych,R,0.003144,0.002430,0.004340,0.014392,0.013486,0.015709,0.015758,0.015219,0.016428,0.033273,0.008868,0.045537,0.003385,0.003216,0.003610
R6,Wyszukanie faktur z danego okresu,R,0.041956,0.032132,0.060550,0.096148,0.088177,0.108120,0.110034,0.083622,0.147980,2.722738,2.672338,2.791953,0.000852,0.000762,0.001021
U1,Aktualizacja ceny produktu alkoholowego,U,0.000162,0.000072,0.000318,0.010007,0.006752,0.012404,0.009518,0.007858,0.011154,0.059457,0.056992,0.061081,0.000829,0.000788,0.000906
U2,Aktualizacja danych klienta,U,0.000401,0.000113,0.000968,0.009062,0.007779,0.010320,0.009416,0.008593,0.010772,0.064496,0.056359,0.077193,0.000785,0.000760,0.000826
U3,Zmiana statusu transakcji paragonu,U,0.000158,0.000106,0.000223,0.010689,0.002550,0.020227,0.007550,0.002696,0.010487,0.061120,0.059585,0.063398,0.000776,0.000749,0.000821
U4,Masowa aktualizacja cen w kategorii (promocja),U,0.016487,0.016093,0.016951,0.023126,0.018948,0.029168,0.021585,0.019693,0.023897,73.261781,55.166109,109.443158,0.125053,0.121955,0.128293
U5,Aktualizacja statusu dostawy,U,0.000409,0.000088,0.001004,0.009474,0.007298,0.012135,0.005380,0.001692,0.012462,0.075232,0.062423,0.096744,0.000713,0.000700,0.000730
U6,Aktualizacja danych producenta,U,0.000112,0.000084,0.000159,0.009768,0.006613,0.012793,0.007901,0.006816,0.009539,0.064597,0.060138,0.068846,0.000724,0.000710,0.000735
D1,Usunięcie pojedynczego produktu alkoholowego,D,0.000061,0.000043,0.000088,0.001934,0.001730,0.002063,0.001794,0.001666,0.001966,0.005028,0.003794,0.005755,0.001650,0.001521,0.001791
D2,Usunięcie klienta,D,0.000059,0.000034,0.000086,0.003530,0.003361,0.003817,0.003314,0.003260,0.003374,0.003622,0.003468,0.003769,0.000778,0.000725,0.000838
D3,Usunięcie paragonu (kaskadowe z pozycjami),D,0.000180,0.000034,0.000463,0.002675,0.001971,0.003809,0.001737,0.001654,0.001785,55.239622,54.986650,55.641483,0.001493,0.001467,0.001529
D4,Usunięcie pozycji paragonu,D,0.025661,0.025242,0.025896,0.002309,0.002109,0.002628,0.002121,0.001761,0.002644,55.213287,54.879696,55.765740,0.001505,0.001468,0.001539
D5,Masowe usunięcie 100 produktów tytoniowych,D,0.000312,0.000239,0.000433,0.003563,0.002677,0.005289,0.004234,0.002224,0.007718,0.414144,0.389011,0.458341,0.098633,0.074179,0.136623
D6,Usunięcie dostawy,D,0.000063,0.000037,0.000108,0.002305,0.002066,0.002694,0.002104,0.001749,0.002635,0.004567,0.003460,0.005847,0.000696,0.000680,0.000711
